Career (Small List),Matched Careers (Large List)
Clinical Social Worker,"Social Psychologist, Medical Social Worker, Frontline Health Worker"
Bioinformatics Analyst,"Market Research Analyst, Core Analyst, Operations Research Analyst"
Health Services Manager,"Hospital Administrator, Health Officer, Health Club Manager"
Pharmaceutical Manufacturing Technician,"Biomedical Equipment Technician, Laboratory Assistant, Pharmaceutical, Pharmaceutical Chemist"
Clinical Research Associate (CRA),"CRM Manager, AC Specialist, Laboratory Assistant, Clinical"
Health Services Administrator,"Service Supervisor, Health Officer, Hospital Administrator"
Pharmaceutical Scientist,"Biological Chemist, Laboratory Assistant, Pharmaceutical, Pharmaceutical Chemist"
Environmental Attorney,"Environmental Engineering Technician, Environmental Compliance Inspector, Attorney at Law"
Land Development Consultant,"Agricultural Engineer, Manager, Land Survey, Vendor Development Executive"
Entertainment Attorney,"Attorney General of India, Attorney at Law, General Manager, Recreation and Entertainment"
Business Litigation Attorney,"Solicitor General of India, Attorney General of India, Attorney at Law"
School Compliance Officer,"School Inspector, Public Relations Officer, Information Officer"
Banking Lawyer,"Director, Bank, Bank Clerk, Attorney at Law"
Government Contracts Attorney,"Administrative Official, State Government, Attorney at Law, Contracts Officer (Telecom)"
Bioethics Consultant,"Biomedical Engineer, Ecologist, Counsellor"
Event Contracts Manager,"Customer Relationship Manager, Contracts Officer (Telecom), Personnel Manager"
Child Welfare Attorney,"Child and Family Social Worker, Child Care Worker, Child Welfare Organizer"
Problem-Solving,"Dip Solution Preparation Operator, Helper- Finishing Operations, Mathematician"
Forensic Science Consultant,"Detective, Forensic Science Technician, Forensic Chemist"
Manufacturing Risk Manager,"General Manager, Manufacturing, Manager, Manufacturing, Manager, Manufacturing"
Social Media Compliance Specialist,"Advertising Operations Coordinator (Digital), Traffic Coordinator (Media Organization), Marketing &amp; Social Media Manager"
Customs Compliance Specialist,"Station Officer, Overseas Communication, Customs Inspector, Supervisor, Customs"
Environmental Scientist,"Environmental Engineering Technician, Environmental Science and Protection Technician, Including Health, Environmental Scientist"
Food Safety Auditor,"Factory Compliance Auditor, Food &amp; Beverage Service - Steward, Auditor"
Environmental Designer,"Ecologist, Environmental Scientist, Environmental Engineering Technician"
Copywriter,"Paper Board Maker, Presser, Handmade Paper, Distributor (Letter Press)"
Market Research Analyst,"Financial Analyst, Operations Research Analyst, Market Research Analyst"
Adult Educator,"Middle School Teacher, Primary School Teacher, Health Educator"
Investment Analyst,"Market Research Analyst, Risk Management Analyst, Financial Analyst"
Public Health Administrator,"Public Relations Officer, Hospital Administrator, Health Officer"
Healthcare Administrator,"Medical Records and Health Information Technician, Hospital Administrator, Health Officer"
Lodging Manager,"Director, Lodging and Catering Services, Manager, Lodging and Catering Services, General Manager, Lodging and Catering Services"
Case Manager,"Duty Manager, Sales Manager, Sales Manager"
Technical Support Specialist,"BSS Support Engineer, Maintenance Technician, Product Specialist Engineer"
Emergency Management Director,"Fire Officer, Director, Disaster Management Services, Security Supervisor"
Industrial Production Manager,"Manager, Manufacturing, Manager, Manufacturing, Unit Production Manager"
Advertising Manager,"Manager, Advertising and Promotion, Advertising Sales Agent, Advertising Operations Coordinator (Digital)"
Fleet Manager,"Chief Engineer, Ship, Chief Officer, Ship, Duty Manager"
Environmental Scientist,"Environmental Engineering Technician, Environmental Science and Protection Technician, Including Health, Environmental Scientist"
Environmental Consultant,"Environmental Compliance Inspector, Environmental Scientist, Environmental Engineering Technician"
Construction Cost Estimator,"Planning Engineer, Estimator, Timber, Engineering Estimator"
Marketing Communications Manager,"Marketing &amp; Social Media Manager, Marketing Manager – Line of Business, Digital Marketing Manager"
Business Analyst,"Risk Management Analyst, Operations Research Analyst, Financial Analyst"
Academic Advisor,"Principal, College, University and College Teacher, Service Advisor"
Financial Planner,"Town Planner, Planner, Financial Analyst"
Legislative Assistant,"Receiving Assistant, Office Assistant, Legal Assistant"
Health Information Manager,"Health Club Manager, Health Officer, Medical Records and Health Information Technician"
Travel Agency Manager,"Transport Manager, Travel Agent, Travel Consultant"
Counselor,"Clinical Psychologist, Counselling Psychologist, Counsellor"
Network Administrator,"Service Supervisor, Security Supervisor, Network Management Engineer"
Paralegal,"Judge, Supreme Court, Judge, Subordinate Court, Parasitologist"
Quality Control Manager,"Quality Supervisor, Quality Control Chemist, Quality Management System In-Charge"
Brand Manager,"Sales Manager, Product Brand Manager, Brand Manager"
Supply Chain Analyst,"Risk Management Analyst, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Technology Product Manager,"Product Design Manager, Product Development Manager, Product Brand Manager"
Food Product Stylist,"Chemical Engineer, Food, Food Chemist, Food/Chemical Technologist"
Landscape Architect,"Construction Painter and Decorator, Surveyor Topographical, Architect"
Film Director,"Movie Cameraman, Director, Theatrical, Film Producer"
Marketing Director,"Sales Manager, Sales Manager, Sales Director"
Curriculum Developer for Arts Education,"Senior Secondary and Secondary School Teacher, Arts, Art Teacher, University and College Teacher, Arts Subjects"
Non-Profit Arts Organization Finance Officer,"Account Executive (Advertising Agency), Account Director (Advertising Agency), Finance Agent"
Arts Funding Officer,"IT Coordinator in School, Art Director, Beauty Advisor"
Drama Therapist,"Beauty Therapist, Spa Therapist, Counselling Psychologist"
Resort Entertainment Director,"Guest Relations Manager, Manager, Recreation and Entertainment, General Manager, Recreation and Entertainment"
Recreational Therapist (Arts Focus),"Beauty Therapist, Counselling Psychologist, Occupational Therapist"
UX/UI Designer,"Designer (CAD), Layout Designer, Interior Designer"
Art Crime Investigator,"Fine Art Painter, Detective, Art Director"
Artisan Craftsperson,"Threading Artisan, Engraving Artisan, Artisan"
Creative Content Strategist,"Designer &amp; Sketcher, Character Designer, Creative Writer"
Production Set Logistics Manager,"Production Planner, Unit Production Manager, Production Planning Supervisor"
Interactive Media Developer (STEM Education),"Photographic Developer, Field Engineer-TV, Developer, Automatic (Photofinishing)"
Agricultural Technician,"Agricultural Engineer, Agriculture Engineering Technician, Agricultural Engineering Technician"
Landscape Architect,"Construction Painter and Decorator, Surveyor Topographical, Architect"
Sports Filmmaker,"Athletic Coach, Sports Coach, Film Producer"
Event Manager (Sports),"Athletic Coach, Manager, Recreation and Entertainment, Sports Coach"
Sports Psychologist,"Psychologist, Psychologist, Sports Coach"
Sports Accountant,"Sports Goods Maker, Wood, Sports Coach, Accountant"
Public Affairs Specialist (Sports),"Manager, Recreation and Entertainment, General Manager, Recreation and Entertainment, Sports Coach"
Nutritionist (Sports),"Dietician, Nutritionist, Animal Nutritionist"
Tour Guide (Sports Focus),"Manager, Recreation and Entertainment, Tourist Guide, Sports Coach"
Community Outreach Worker,"Village Level Worker, Service Supervisor, Community Service Provider"
Web Developer (Sports),"Telecom Embedded Hardware Developer, Building Operator Sports Goods, Sports Goods Maker, Wood"
Athlete Rights Advocate,"Athletic Coach, Advocate, Professional Athlete"
Supply Chain Manager (Sports),"Sports Coach, Sports Goods Maker, Wood, Building Operator Sports Goods"
Promotions Coordinator (Sports),"Manager, Advertising and Promotion, Athletic Coach, Sports Coach"
Transportation Manager (Sports),"Manager, Recreation and Entertainment, Transport Manager, Sports Coach"
Sports Engineer,"Physical Design Engineer, Athletic Coach, Sports Coach"
Environmental Educator,"Ecologist, Environmental Scientist, Environmental Engineering Technician"
Urban Planner,"Traffic Planner, Town Planner, Planner"
Public Relations Specialist,"Guest Relations Manager, Director of Communications, Public Relations Officer"
Marketing Coordinator,"Digital Marketing Manager, Advertising Operations Coordinator (Digital), Sales Coordinator"
Educational Consultant,"Trainee Associate, Visa Assistant Consultant, Service Advisor"
Budget Analyst,"Risk Management Analyst, Financial Analyst, Budget Analyst"
Community Development Officer,"Information Officer, Business Development Executive, Public Relations Officer"
Patient Advocate,"Counsellor, Advocate General, Advocate"
Travel Consultant,"Travel Agent, Travel Consultant &amp; Organiser, Travel Consultant"
Nonprofit Program Manager,"IT Coordinator in School, Human Resource Manager, Community Service Provider"
IT Project Coordinator,"Sales Coordinator, IT Coordinator in School, Service Advisor"
Criminal Justice Research Analyst,"Risk Management Analyst, Operations Research Analyst, Market Research Analyst"
Supply Chain Analyst,"Risk Management Analyst, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Market Research Analyst,"Financial Analyst, Operations Research Analyst, Market Research Analyst"
Supply Chain Manager,"Supply Chain Field Assistant, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Research Analyst,"Financial Analyst, Operations Research Analyst, Market Research Analyst"
Environmental Journalist,"Business Correspondent, Reporter, Environmental Scientist"
Real Estate Media Specialist,"Director, Research (Motion Picture, Radio &amp; TV), Marketing &amp; Social Media Manager, Traffic Coordinator (Media Organization)"
Art Director,"Fine Art Painter, Art Teacher, Art Director"
Business Development Manager,"Vendor Development Executive, Product Development Manager, Business Development Executive"
Instructional Designer,"Manual Training Teacher/Craft Instructor, Tool Room Designer, Computer Designer"
Financial Journalist,"Reporter, Freelance Journalist, Business Correspondent"
Government Communications Officer,"Station Officer, Overseas Communication, Information Officer, Public Relations Officer"
Healthcare Public Relations Manager,"Health Officer, Public Relations Officer, Hospital Administrator"
Social Media Manager (Hospitality),"Guest Relations Manager, Manager, Lodging and Catering Services, Marketing &amp; Social Media Manager"
Community Outreach Coordinator,"Service Advisor, IT Coordinator in School, Community Service Provider"
Social Media Manager (Tech Companies),"Advertising Operations Coordinator (Digital), Digital Marketing Manager, Marketing &amp; Social Media Manager"
Public Information Officer (Law Enforcement),"Personal Security Officer, Public Relations Officer, Information Officer"
Manufacturing Marketing Coordinator,"Manager, Manufacturing, Manager, Manufacturing, Sales Coordinator"
Brand Strategist,"Fashion Manager, Brand Manager, Product Brand Manager"
Transport Journalist,"Transport Manager, Reporter, Business Correspondent"
Technical Writer (STEM),"Creative Writer, Paper Technologist, Technologist, Paper"
Food Production Facility Designer,"Chemical Engineer, Food, Manager, Food Processing Plant, Food Processing/Production Supervisor"
Interior Designer,"Designer (CAD), Furniture Designer, Interior Designer"
Art Director,"Fine Art Painter, Art Teacher, Art Director"
Corporate Interior Designer,"Designer (CAD), Furniture Designer, Interior Designer"
Museum Educator,"University and College Teacher, Fine Arts, Art Teacher, Museum Curator"
Corporate Office Designer,"Interior Designer, Product Design Manager, Computer Designer"
Public Space Designer,"Furniture Designer, Equipment Designer, Interior Designer"
Healthcare Facility Interior Designer,"Furniture Designer, Public Health System Design Engineer, Interior Designer"
Event Space Designer,"Design Merchandiser, Meeting, Conference, and Event Planner, Equipment Designer"
Non-Profit Event Designer,"Working Proprietor, Recreation and Entertainment, Design Merchandiser, Meeting, Conference, and Event Planner"
Game Environment Designer,"Product Design Engineer, Design Merchandiser, Product Design Manager"
Police Station Designer,"Detective, Security Supervisor, Police Inspector"
Factory Layout Designer,"Layout Engineer Level 5, Machine Designer, Layout Designer"
Visual Merchandiser,"Merchandiser, Merchandiser, Merchandiser"
Public Transit Planner,"Planning Supervisor, Town Planner, Traffic Planner"
Occupation D,"Working Proprietor, Transport, Civil Engineer, General, Working Proprietor, Construction"
Soil and Plant Scientists,"Laboratory Assistant, Soil, Soil Scientist, Soil Scientist"
Urban and Regional Planners,"Traffic Planner, Planning Supervisor, Town Planner"
Graphic Designers,"Designer (CAD), Rendering Artist, Designer &amp; Sketcher"
Business Intelligence Analyst,"Risk Management Analyst, Financial Analyst, Operations Research Analyst"
STEM Curriculum Developer,"Junior Faculty, University and College Teacher, Engineering, Educational Psychologist"
Risk Manager,"Duty Manager, Manager, Insurance, Risk Management Analyst"
IT Project Manager,"Service Office Manager, IT Coordinator in School, Product Development Manager"
Health Informatics Specialist,"Health Officer, Health Educator, Medical Records and Health Information Technician"
Hospitality Operations Manager,"Assistant Catering Manager, Manager, Lodging and Catering Services, General Manager, Lodging and Catering Services"
Health Informatics Specialist ,"Health Officer, Health Educator, Medical Records and Health Information Technician"
Network Administrator,"Service Supervisor, Security Supervisor, Network Management Engineer"
Emergency Management Director,"Fire Officer, Director, Disaster Management Services, Security Supervisor"
Production Manager,"Production Engineer, Production Planning Supervisor, Unit Production Manager"
Content Strategist,"Category Expert, Business Correspondent, Commentary Writer"
Warehouse Operations Manager,"Warehouse Worker, Warehouse Supervisor, Warehouse Supervisor"
Electrical Engineer,"Electrical Engineering Designer, Electrical Design Engineer, Electrical Engineer"
Environmental Scientist,"Environmental Engineering Technician, Environmental Science and Protection Technician, Including Health, Environmental Scientist"
Environmental Health and Safety Specialist,"Occupational Health and Safety Specialist, Environmental Science and Protection Technician, Including Health, Occupational Health and Safety Specialist"
Medical Video Producer,"Production Manager (Motion Picture), Medical Equipment Technician, Film Producer"
Health Services Manager,"Hospital Administrator, Health Officer, Health Club Manager"
Clinical Research Educator,"Laboratory Assistant, Clinical, Diabetes Educator, Health Educator"
Medical Billing Specialist,"Medical Records and Health Information Technician, Billing Executive (FM), Medical Sales Representative"
Biostatistician,"Medical Physiologist, Pathologist, Medical, Physician, Bio-Chemic"
Public Health Educator,"Health Officer, Diabetes Educator, Health Educator"
Spa Manager,"Spa Trainer, Assistant Spa Therapist, Spa Therapist"
Medical Case Manager,"Health Club Manager, Hospital Administrator, Medical Sales Representative"
Telemedicine Coordinator,"Supervisor, Telephone, Service Advisor, Tele-Caller"
Public Health Analyst,"Hospital Administrator, Health Educator, Health Officer"
Process Development Scientist,"Process Man, Chemical, Manager Process Engineering, Process Design Engineer"
Health Communications Specialist,"Medical Equipment Technician, Medical Records and Health Information Technician, Health Officer"
Medical Equipment Distribution Specialist,"Medical Laboratory Technician, Biomedical Equipment Technician, Medical Equipment Technician"
Genetic Counselor,"Genealogist, Vocational Rehabilitation Counsellor, Counselling Psychologist"
Natural Resource Manager,"General Manager Agriculture Farm, General Manager, Plantation, Human Resource Manager"
Zoning and Land Use Lawyer,"Registrar (Appellate Side, High Court), District and Session Judge, Attorney at Law"
Intellectual Property Lawyer,"Solicitor General of India, Copyright Clerk, Attorney at Law"
Intellectual Property Manager,"Courier Institutional Sales Executive, Vendor Development Executive, Working Proprietor, Storage and Warehousing"
Higher Education Consultant,"Service Advisor, Visa Assistant Consultant, Trainee Associate"
Investment Fraud Attorney,"Financial Analyst, Finance Agent, Attorney at Law"
Environmental Policy Advisor,"Environmental Scientist, Environmental Engineering Technician, Environmental Compliance Inspector"
Healthcare Compliance Officer,"Hospital Administrator, Information Officer, Health Officer"
Licensing and Compliance Officer,"Clearance Support Agent, Contracts Officer (Telecom), Environmental Compliance Inspector"
Substance Abuse Counselor,"Counselling Psychologist, Vocational Rehabilitation Counsellor, Counsellor"
Criminal Defense Attorney,"Public Prosecutor, Attorney at Law, Police Prosecutor"
Manufacturing Compliance Officer,"Manager, Manufacturing, Manager, Manufacturing, Factory Compliance Auditor"
Product Development Attorney,"Vendor Development Executive, Product Development Manager, Product Specialist Engineer"
E-commerce Legal Advisor,"Legal Assistant, Director, Retail Trade, Working Proprietor, Retail Trade"
Transport Safety Advisor,"General Manager - Transport, Transport Manager, Transport Coordinator"
Data Privacy Compliance Officer,"Security Officer, Personal Security Officer, Information Officer"
Sustainability Consultant,"Manager Vendor Development, Ecologist, Social Ecologist"
Historic Preservationist,"Archaeologist, Historian, Preservation Assistant, Archives"
Broadcast Journalist,"Radio Commentator, Reporter, Business Correspondent"
Training and Development Specialist,"Trainee Associate, Certified Training Assessor, Manual Training Teacher/Craft Instructor"
Corporate Trainer,"Make-Up Trainer, Trainer, Fitness Trainer"
Risk Manager,"Duty Manager, Manager, Insurance, Risk Management Analyst"
Government Affairs Specialist,"Executive Official, State Government, Government Advocate, Administrative Official, State Government"
Community Health Worker,"Health Officer, Medical Social Worker, Frontline Health Worker"
Food Service Manager,"Food Processing/Production Supervisor, Manager, Food Processing Plant, Manager, Fast Food Service"
Community Outreach Coordinator,"Service Advisor, IT Coordinator in School, Community Service Provider"
Database Administrator,"Office Service Executive, Service Supervisor, Hospital Administrator"
Police Officer,"Personal Security Officer, Security Officer, Police Constable"
Supply Chain Analyst,"Risk Management Analyst, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Digital Marketing Specialist,"Marketing &amp; Social Media Manager, Advertising Operations Coordinator (Digital), Digital Marketing Manager"
Warehouse Manager,"Warehouse Worker, Warehouse Supervisor, Warehouse Supervisor"
Data Analyst,"Risk Management Analyst, Operations Research Analyst, Financial Analyst"
Agricultural Economist,"Agricultural Engineer, Manager, Agriculture Farm, Economist"
Real Estate Developer,"Property Dealer, Architect, Real Estate Agent (House Agent)"
Graphic Design Manager,"Designer &amp; Sketcher, Product Design Manager, Design Engineer"
Financial Manager,"General Manager, Bank, Bank Manager, Financial Analyst"
Corporate Trainer,"Make-Up Trainer, Trainer, Fitness Trainer"
Loan Officer,"Finance Agent, Bank Manager, Loan Approval Officer"
Public Administration Consultant,"Government Advocate, Public Relations Officer, Administrative &amp; Executive Official"
Clinical Research Coordinator,"Cancer Specialist, Laboratory Assistant, Clinical, Medical Laboratory Technician"
Restaurant Manager,"Manager, Fast Food Service, Store Manager, Hotel and Restaurant Keeper"
Rehabilitation Services Manager,"Service Supervisor, Human Resource Manager, Vocational Rehabilitation Counsellor"
Database Administrator,"Office Service Executive, Service Supervisor, Hospital Administrator"
Security Manager,"Personal Security Officer, Security Officer, Security Supervisor"
Supply Chain Manager,"Supply Chain Field Assistant, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Digital Marketing Specialist,"Marketing &amp; Social Media Manager, Advertising Operations Coordinator (Digital), Digital Marketing Manager"
Warehouse Operations Manager,"Warehouse Worker, Warehouse Supervisor, Warehouse Supervisor"
Supply Chain Analyst,"Risk Management Analyst, Supply Chain Management (SCM) Executive, Supply Chain Manager - Life Science"
Botanical Illustrator,"Rendering Artist, Texturing Artist, Drawing Artist"
Exhibition Designer,"Designer (CAD), Design Merchandiser, Interior Designer"
Creative Director,"Executive Producer, Creative Writer, Art Director"
Event Manager,"Service Office Manager, Publicity Officer, Personnel Manager"
Art Therapist,"Art Director, Art Teacher, Beauty Therapist"
Financial Planner for Artists,"Designer &amp; Sketcher, Planner, Commercial Artist"
Arts Ambassador,"University and College Teacher, Arts Subjects, Art Teacher, Art Director"
Music Therapist,"Director, Music, Counselling Psychologist, Speech Therapist and Audiologist"
Museum Curator (Tourist Sites),"Tourist Guide, Archaeologist, Museum Curator"
Social Worker (Arts in Therapy),"Medical Social Worker, Occupational Therapist, Social Psychologist"
Video Game Designer (Arts Focus),"Character Designer, Tool Room Designer, Computer Designer"
Intellectual Property Lawyer (Arts Focus),"Art Director, Solicitor General of India, Attorney at Law"
Stage Set Designer,"Furniture Designer, Dresser, Stage and Studio, Stage Producer"
Graphic Designer (Marketing Focus),"Design Merchandiser, Fashion Designer, Product Design Manager"
Museum Registrar (Transportation Focus),"Booking Clerk, Transport, Registrar, Museum Curator"
Environmental Artist (STEM Focus),"Fine Art Painter, Make-Up Artist, Make-Up Artist"
Food Safety Specialist,"Food Chemist, Food/Chemical Technologist, Food Products Packaging Technician"
Site Supervisor,"Warehouse Supervisor, Warehouse Supervisor, Supervisor"
Graphic Designer (Sports),"Character Designer, Fashion Designer, Professional Athlete"
Sports Agent,"Insurance Agent, Travel Agent, Sports Coach"
Sports Science Lecturer,"Professional Athlete, Sports Coach, Athletic Coach"
Budget Analyst (Sports),"Risk Management Analyst, Financial Analyst, Budget Analyst"
Grant Coordinator (Sports Programs),"Diabetes Educator, Sports Coach, Athletic Coach"
Physical Therapist (Sports),"Physical Security Trainer, Physiotherapist, Fitness Trainer"
Corporate Sponsorship Manager,"Manager Vendor Development, Product Brand Manager, Brand Manager"
Sports Social Worker,"Health Club Manager, Sports Coach, Medical Social Worker"
Mobile App Developer (Sports),"Telecom Terminal Equipment Application Developer, Telecom Embedded Hardware Developer, Telecom Terminal Equipment Application Developer (Android)"
Risk Assessment Specialist (Sports),"Professional Athlete, Sports Coach, Risk Management Analyst"
Manufacturing Engineer (Sports Gear),"Equipment Designer, Building Operator Sports Goods, Sports Goods Maker, Wood"
Market Research Analyst (Sports),"Professional Athlete, Operations Research Analyst, Market Research Analyst"
Fleet Manager (Sports Teams),"Team Leader, Sports Coach, Manager, Flight Operations"
Performance Analyst,"Risk Management Analyst, Operations Research Analyst, Financial Analyst"
Community Outreach Coordinator,"Service Advisor, IT Coordinator in School, Community Service Provider"
Sustainability Consultant,"Manager Vendor Development, Ecologist, Social Ecologist"
Arts Administrator,"Personnel Manager, Art Director, Hospital Administrator"
Customer Relations Manager,"Sales Manager, Customer Relationship Executive, Customer Relationship Manager"
Instructional Coordinator,"Trainee Associate, Sales Coordinator, IT Coordinator in School"
Loan Officer,"Finance Agent, Bank Manager, Loan Approval Officer"
Regulatory Affairs Specialist,"Chairman, Administrative Tribunal, Administrative &amp; Executive Official, Member, Industrial Tribunal"
Health Educator,"Health Officer, Diabetes Educator, Health Educator"
Hotel Manager,"Receptionist (Hotel), Hotel and Restaurant Keeper, General Manager, Lodging and Catering Services"
Crisis Intervention Specialist,"Emergency Medical Technician - Basic, Service Advisor, Director, Disaster Management Services"
Data Analyst,"Risk Management Analyst, Operations Research Analyst, Financial Analyst"
Public Safety Educator,"Safety Engineer, Safety Engineer, Health Educator"
Technical Sales Representative,"Sales Manager, Sales Representative, Sales Manager"
Digital Marketing Manager,"Marketing &amp; Social Media Manager, Advertising Operations Coordinator (Digital), Digital Marketing Manager"
Freight Broker,"Director, Wholesale Trade, Supervisor and Foreman, Material and Freight Handling, Broker"
STEM Education Specialist,"Health Educator, University and College Teacher, Information Technology, University and College Teacher, Engineering"
Sustainability Content Creator,"Creative Writer, Design Merchandiser, Member, Consumer Redressal Forum"
Sustainability Communications Advisor,"Ecologist, General Manager - Communication, Manager Communication"
Video Editor,"Film Producer, Editor, Sound Editor"
Internal Communications Coordinator,"Personnel Manager, General Manager - Communication, Director of Communications"
Educational Technology Specialist,"Electronic Technician, ICT Technician, University and College Teacher, Information Technology"
Content Marketing Specialist (Finance),"Marketing Manager – Line of Business, Digital Marketing Manager, Sales Consultant (Institutional Sales)"
Public Information Officer,"Personal Security Officer, Public Relations Officer, Information Officer"
Health Content Creator,"Health Club Manager, Member, Consumer Redressal Forum, Health Educator"
Event Planner (Tourism),"Travel Consultant &amp; Organiser, Tourist Guide, Meeting, Conference, and Event Planner"
Public Relations Specialist (Human Services),"Human Resource Manager, Public Relations Officer, Office Service Executive"
IT Public Relations Manager,"Guest Relations Manager, Service Office Manager, Public Relations Officer"
Legal PR Consultant,"Attorney at Law, Advocate General, Legal Assistant"
Product Launch Communications Specialist,"Product Specialist Engineer, Product Brand Manager, Product Development Manager"
Content Marketing Manager,"Sales Manager, Marketing &amp; Social Media Manager, Digital Marketing Manager"
Public Relations Specialist (Logistics),"Transport Coordinator, General Manager - Transport, Public Relations Officer"
STEM Podcast Host,"Speech Therapist and Audiologist, Radio Commentator, Intern"
Urban Planner,"Traffic Planner, Town Planner, Planner"
Urban Designer,"Fashion Designer, Designer (CAD), Interior Designer"
Graphic Designer,"Designer (CAD), Fashion Designer, Character Designer"
Brand Designer,"Product Brand Manager, Brand Manager, Fashion Designer"
Art Instructor,"Manual Training Teacher/Craft Instructor, Art Director, Art Teacher"
ATM Kiosk Designer,"Assistant: Electricity Meter Reader, Billing and Cash Collector, Consumer Energy Meter Technician, Vending Machine Attendant"
Government Facility Interior Designer,"Equipment Designer, Architect, Interior Designer"
Healthcare Data Visualization Specialist,"Medical Equipment Technician, Vision Technician, Medical Records and Health Information Technician"
Resort Landscape Architect,"Naval Architect, Town Planner, Architect"
Art Therapy Space Designer,"Fine Art Painter, Tool Room Designer, Art Director"
Data Center Architect,"System Designer (PCB Design), IT Coordinator in School, Architect"
Security Systems Designer,"Fire Protection Systems Design Engineer, Security Officer, Security Supervisor"
Sustainable Manufacturing Consultant,"General Manager, Manufacturing, Manager, Manufacturing, Manager, Manufacturing"
Brand Identity Designer,"Character Designer, Brand Manager, Fashion Designer"
Shipping Facility Designer,"Packaging Engineer, Equipment Designer, Packaging Engineer"
Occupation E,"Labourer, Agricultural, Working Proprietor, Construction, Employment Officer/Operation Head, Employment"
Environmental Engineers,"Chemical Engineer, Chemical Engineer, Environmental Engineering Technician"
Landscape Architects,"Surveyor Topographical, Painter, Building, Architect"
Web Developers,"Embedded Software Engineer, Computer Designer, Front-End Developer"
Financial Quantitative Analyst,"Budget Analyst, Risk Management Analyst, Financial Analyst"
STEM Education Consultant,"University and College Teacher, Engineering, Vocational Guidance Officer/Career Counsellor, Trainee Associate"
Actuary,"Coroner, Commission Agent, Actuary"
Statistical Analyst,"Financial Analyst, Statistical Assistant, Market Research Analyst"
Pharmaceutical Scientist,"Biological Chemist, Laboratory Assistant, Pharmaceutical, Pharmaceutical Chemist"
Event Planner with a STEM Focus,"Family Planning Organizer, Meeting, Conference, and Event Planner, Planner"
Pharmaceutical Scientist ,"Biological Chemist, Laboratory Assistant, Pharmaceutical, Pharmaceutical Chemist"
Web Developers,"Embedded Software Engineer, Computer Designer, Front-End Developer"
Compliance Officer,"Security Supervisor, Security Officer, Information Officer"
Automation Engineer,"Tool Engineer, Embedded Software Engineer, Automation Specialist"
Social Media Manager,"Traffic Coordinator (Media Organization), Digital Marketing Manager, Marketing &amp; Social Media Manager"
Freight Broker,"Director, Wholesale Trade, Supervisor and Foreman, Material and Freight Handling, Broker"
Statistician,"Economist, Statistician (Applied), Statistician"
Veterinary Technician,"Veterinary Field Assistant, Veterinary Clinical Assistant, Veterinary Surgeon"
Medical Facility Manager,"Medical Laboratory Technician, Medical Equipment Technician, Hospital Administrator"
Public Health Educator ,"Health Officer, Diabetes Educator, Health Educator"
Medical and Health Services Manager,"Hospital Administrator, Health Officer, Health Club Manager"
Public Health Educator,"Health Officer, Diabetes Educator, Health Educator"
Clinical Research Financial Coordinator,"Medical Sales Representative, Financial Analyst, Finance Insurance &amp; Registration Coordinator"
Regulatory Affairs Specialist,"Chairman, Administrative Tribunal, Administrative &amp; Executive Official, Member, Industrial Tribunal"
Pharmaceutical Sales Representative,"Distributor Sales Representative, Sales Representative, Medical Sales Representative"
Nutritionist/Dietitian for Hospitality,"Dietician Assistant, Dietician, Nutritionist"
Occupational Therapist,"Occupational Health and Safety Specialist, Occupational Health and Safety Specialist, Occupational Therapist"
Regulatory Affairs Specialist,"Chairman, Administrative Tribunal, Administrative &amp; Executive Official, Member, Industrial Tribunal"
Environmental Health Specialist,"Environmental Engineering Technician, Environmental Scientist, Environmental Science and Protection Technician, Including Health"
Clinical Research Coordinator,"Cancer Specialist, Laboratory Assistant, Clinical, Medical Laboratory Technician"
Product Manager in Biotech,"Product Specialist Engineer, Product Development Manager, Product Brand Manager"
Biomedical Supply Chain Manager,"Biomedical Engineer, Biomedical Equipment Technician, Supply Chain Manager - Life Science"
Biostatistician,"Medical Physiologist, Pathologist, Medical, Physician, Bio-Chemic"
Agricultural Policy Analyst,"Manager, Agriculture Farm, Agriculture Field Officer, General Manager Agriculture Farm"
Building Code Compliance Officer,"Environmental Compliance Inspector, Contracts Officer (Telecom), Building Operator"
Telecommunications Regulatory Consultant,"Telecommunication Technician, Telecommunication Engineer, Contracts Officer (Telecom)"
Contract Manager,"Contracts Officer (Telecom), Duty Manager, Personnel Manager"
Special Education Lawyer,"University and College Teacher, Law, Legal Assistant, Attorney at Law"
Corporate Finance Lawyer,"Finance Agent, Solicitor General of India, Attorney at Law"
Legislative Analyst,"Market Research Analyst, Budget Analyst, Financial Analyst"
Pharmaceutical Regulatory Attorney,"Laboratory Assistant, Pharmaceutical, Pharmaceutical Chemist, Attorney at Law"
Travel and Tourism Consultant,"Travel Agent, Travel Consultant &amp; Organiser, Travel Consultant"
Nonprofit Organization Lawyer,"Advocate, Government Advocate, Attorney at Law"
Public Defender,"Police Prosecutor, Public Relations Officer, Public Prosecutor"
Product Liability Attorney,"Distributor Sales Representative, Director, Insurance, Attorney at Law"
