Career (Small List),Exact Matched Careers
"Director, Gas","Director, Gas"
Administrative &amp; Executive Official,Administrative &amp; Executive Official
"Senior Officials of Employers, Workers and Other Economic Interest Organisations","Senior Officials of Employers, Workers and Other Economic Interest Organisations"
Boutique Manager,Boutique Manager
Export Executive,Export Executive
Merchandiser - Made-Ups &amp; Home Furnishing,Merchandiser - Made-Ups &amp; Home Furnishing
Area Service Manager,Area Service Manager
Automotive Sales Lead (Retail),Automotive Sales Lead (Retail)
Commercial Executive/Officer,Commercial Executive/Officer
CRM Manager,CRM Manager
Customer Relationship Executive,Customer Relationship Executive
Manager Automotive Service,Manager Automotive Service
Manager Vendor Development,Manager Vendor Development
Regional Manager - Customer Care,Regional Manager - Customer Care
Sales Consultant (Auto Finance),Sales Consultant (Auto Finance)
Sales Executive-Dealership,Sales Executive-Dealership
Sales Officer (Auto Insurance),Sales Officer (Auto Insurance)
Sales/Service Trainer (Dealer),Sales/Service Trainer (Dealer)
Office Service Executive,Office Service Executive
Service Office Manager,Service Office Manager
Team Leader,Team Leader
Territory Sales Manager (Retail),Territory Sales Manager (Retail)
Territory Service Manager,Territory Service Manager
Vendor Development Executive,Vendor Development Executive
Accounts Executive (Accounts Payable &amp; Receivables),Accounts Executive (Accounts Payable &amp; Receivables)
Accounts Executive (Payroll),Accounts Executive (Payroll)
Accounts Executive (Recording &amp; Reporting),Accounts Executive (Recording &amp; Reporting)
Audit Clerk,Audit Clerk
Auditor,Auditor
Bill and Accounts Collector,Bill and Accounts Collector
Commission Agent,Commission Agent
Debt Recovery Agent,Debt Recovery Agent
Personal Secretary,Personal Secretary
Private Secretary,Private Secretary
Valuer,Valuer
Category Expert,Category Expert
Area Sales Officer,Area Sales Officer
Customer Care Executive,Customer Care Executive
Floor Manager,Floor Manager
Inclusion Plotter,Inclusion Plotter
Inventory Manager,Inventory Manager
Jewellery Retail Sales Associate (Advance),Jewellery Retail Sales Associate (Advance)
Store Manager,Store Manager
Store In-Charge,Store In-Charge
Sales Coordinator,Sales Coordinator
"Working Proprietor, Other Services","Working Proprietor, Other Services"
"Director, Quarry","Director, Quarry"
Buyer,Buyer
"Commercial Traveller, General","Commercial Traveller, General, Commercial Traveller, General"
"Director, Retail Trade","Director, Retail Trade"
"General Manager, Retail Trade","General Manager, Retail Trade"
"Manager, Export","Manager, Export"
"Manager, Retail Trade","Manager, Retail Trade"
"Manager, Wholesale Trade","Manager, Wholesale Trade"
Other Sales Supervisor,Other Sales Supervisor
Purchasing Agent,Purchasing Agent
"Sales Supervisor, Wholesale Trade","Sales Supervisor, Wholesale Trade, Sales Supervisor, Wholesale Trade"
"Working Proprietor, Retail Trade","Working Proprietor, Retail Trade"
"Working Proprietor, Wholesale Trade","Working Proprietor, Wholesale Trade"
Plumbing Products Sales Officer,Plumbing Products Sales Officer
Stockist,Stockist
Wholesale Dealer,Wholesale Dealer
Medical Sales Representative,Medical Sales Representative
Contracts Officer (Telecom),Contracts Officer (Telecom)
Customer Care Executive_Relationship Center,Customer Care Executive_Relationship Center
Field Sales Executive,Field Sales Executive
Manager Communication,Manager Communication
"Supervisor, Telephone","Supervisor, Telephone"
Territory Sales Manager (Prepaid),Territory Sales Manager (Prepaid)
Billing Executive (FM),Billing Executive (FM)
Visa Assistant Consultant,Visa Assistant Consultant
Occupational Analyst,Occupational Analyst
Auctioneer,"Auctioneer, Auctioneer"
Human Resource Manager,Human Resource Manager
Assignment Manager,Assignment Manager
Real Estate Agent (House Agent),Real Estate Agent (House Agent)
Property Dealer,Property Dealer
Supervisor,Supervisor
Trainee Associate,Trainee Associate
Cluster Manager,Cluster Manager
Export Assistant,Export Assistant
Record Keeper,Record Keeper
Tele-Caller,Tele-Caller
Warranty Processor,Warranty Processor
Bill Collector,Bill Collector
Bill Processing Clerk,Bill Processing Clerk
Book Keeping Machine Operator,Book Keeping Machine Operator
Cashier,"Cashier, Cashier, Cashier"
Enquiry Clerk,Enquiry Clerk
General Clerk,General Clerk
Reception Clerk,Reception Clerk
Statistical Clerk,Statistical Clerk
Cashier,"Cashier, Cashier, Cashier"
Data Entry Operator,Data Entry Operator
Jewellery Retail Sales Associate,Jewellery Retail Sales Associate
Time Keeper,Time Keeper
Cashier,"Cashier, Cashier, Cashier"
"Cashier, General","Cashier, General"
Complaint Attending Clerk,Complaint Attending Clerk
Sales Associate,Sales Associate
Sales Manager (Retail Trade),Sales Manager (Retail Trade)
Shop Assistant,Shop Assistant
Store Ops Assistant,Store Ops Assistant
Plumbing Products Sales Assistant,"Plumbing Products Sales Assistant, Plumbing Products Sales Assistant"
Plumbing Products Sales Assistant,"Plumbing Products Sales Assistant, Plumbing Products Sales Assistant"
Retail Dealer,Retail Dealer
Customer Care Executive_Call Center,Customer Care Executive_Call Center
Counter Sale Executive,Counter Sale Executive
Consignment Booking Assistant,Consignment Booking Assistant
Documentation Assistant,Documentation Assistant
Auctioneer,"Auctioneer, Auctioneer"
"Inspectors and Supervisors, Other (Clerical)","Inspectors and Supervisors, Other (Clerical)"
Office Assistant,Office Assistant
Office Boy / Peon,Office Boy / Peon
Secretary/Back Office Support,Secretary/Back Office Support
Intern,Intern
Vendor,Vendor
Cluster In-Charge,Cluster In-Charge
Junior Functioner,Junior Functioner
Senior Faculty,Senior Faculty
"Principal, College","Principal, College"
Educational Psychologist,Educational Psychologist
Teacher for Hearing-Impaired,Teacher for Hearing-Impaired
"University and College Teacher, Engineering","University and College Teacher, Engineering"
"University and College Teacher, Information Technology","University and College Teacher, Information Technology"
"University and College Teacher, Management Subjects","University and College Teacher, Management Subjects"
"University and College Teacher, Agricultural Subjects","University and College Teacher, Agricultural Subjects"
Service Training Centre In-Charge,Service Training Centre In-Charge
Trainer,Trainer
Nails Trainer,Nails Trainer
IT Coordinator in School,IT Coordinator in School
Speech Pathologist,Speech Pathologist
Braille Typist,Braille Typist
Chief Librarian,Chief Librarian
"Handwork Teacher/Teacher, Art and Craft","Handwork Teacher/Teacher, Art and Craft"
Headmaster,Headmaster
Information Technology (IT) Trainer,Information Technology (IT) Trainer
Middle School Language Teacher,Middle School Language Teacher
"Language Teacher, Senior Secondary and Secondary School","Language Teacher, Senior Secondary and Secondary School"
Manual Training Teacher/Craft Instructor,Manual Training Teacher/Craft Instructor
Middle School Teacher,Middle School Teacher
Primary School Teacher,Primary School Teacher
Social Psychologist,Social Psychologist
School Inspector,School Inspector
"Senior Secondary and Secondary School Teacher, Arts","Senior Secondary and Secondary School Teacher, Arts"
"Senior Secondary and Secondary School Teacher, Commerce","Senior Secondary and Secondary School Teacher, Commerce"
"Senior Secondary and Secondary School Teacher, Science","Senior Secondary and Secondary School Teacher, Science"
Teacher for Differently-Abled (Physical),Teacher for Differently-Abled (Physical)
Teacher for Visually Impaired,Teacher for Visually Impaired
"Teacher, Infant School/Teacher Pre-Primary","Teacher, Infant School/Teacher Pre-Primary"
"University and College Teacher, Commerce Subjects","University and College Teacher, Commerce Subjects"
University and College Teacher,University and College Teacher
"University and College Teacher, Law","University and College Teacher, Law"
"University and College Teacher, Medicine and Surgery","University and College Teacher, Medicine and Surgery"
University and College Teacher (Science Subjects),University and College Teacher (Science Subjects)
Vocational Guidance Officer/Career Counsellor,Vocational Guidance Officer/Career Counsellor
Certified Training Assessor,Certified Training Assessor
Registrar,Registrar
Athletic Coach,Athletic Coach
Physical Training Instructor/Physical Education Teacher,Physical Training Instructor/Physical Education Teacher
Sports Coach,Sports Coach
Junior Faculty,Junior Faculty
Orientation and Mobility Instructor,Orientation and Mobility Instructor
"Anthropologist, Cultural","Anthropologist, Cultural"
Art Teacher,Art Teacher
Braille and Talking Books Clerk,Braille and Talking Books Clerk
"Braille Transcriber, Hand","Braille Transcriber, Hand"
Genealogist,Genealogist
Governess,Governess
Historian,Historian
Librarian,Librarian
Library Clerk,Library Clerk
Teacher for Differently-Abled (Mental),Teacher for Differently-Abled (Mental)
"University and College Teacher, Arts Subjects","University and College Teacher, Arts Subjects"
"University and College Teacher, Veterinary Science","University and College Teacher, Veterinary Science"
Book Mender,Book Mender
Regional Retail Finance and Insurance Manager,Regional Retail Finance and Insurance Manager
Accountant,Accountant
Actuary,Actuary
Broker,Broker
"Director, Bank","Director, Bank"
"Director, Insurance","Director, Insurance"
Equity Dealer,Equity Dealer
Financial Analyst,Financial Analyst
Financial Examiner,Financial Examiner
"General Manager, Bank","General Manager, Bank"
"General Manager, Insurance","General Manager, Insurance"
Share Market Trader,Share Market Trader
Bank Manager,Bank Manager
"Manager, Insurance","Manager, Insurance"
Economist,Economist
Finance Insurance &amp; Registration Coordinator,Finance Insurance &amp; Registration Coordinator
Accounts Executive (Statutory Compliance),Accounts Executive (Statutory Compliance)
Budget Analyst,Budget Analyst
Cost Accountant,Cost Accountant
"Field Officer, Insurance","Field Officer, Insurance"
Finance Agent,Finance Agent
"Insurance Adjuster, Examiner, Surveyor, and Investigator","Insurance Adjuster, Examiner, Surveyor, and Investigator"
Insurance Agent,Insurance Agent
Loan Approval Officer,Loan Approval Officer
Mutual Fund Agent,Mutual Fund Agent
Travel Insurance Executive,Travel Insurance Executive
Taxing Master,Taxing Master
Bank Clerk,Bank Clerk
"Clerk, Cost Accounting","Clerk, Cost Accounting"
Ledger Clerk,Ledger Clerk
Bank Teller,Bank Teller
Energy Economist,Energy Economist
"Elected Official, State Government","Elected Official, State Government"
"Administrative and Executive Officials, Quasi Government (Central)","Administrative and Executive Officials, Quasi Government (Central)"
Diplomat,Diplomat
"Director, Disaster Management Services","Director, Disaster Management Services"
"Executive Officials, Union Government","Executive Officials, Union Government"
"Supervisor Site EHS (Environment, Health, and Safety)","Supervisor Site EHS (Environment, Health, and Safety)"
Planning Supervisor,Planning Supervisor
Information Officer,Information Officer
Municipal Water and Sewage Assessor,Municipal Water and Sewage Assessor
Postmaster,Postmaster
"Station Officer, Overseas Communication","Station Officer, Overseas Communication"
Political Scientist,Political Scientist
Environmental Compliance Inspector,Environmental Compliance Inspector
"Health, Safety and Environment (HSE) Officer","Health, Safety and Environment (HSE) Officer"
Chief Miller,Chief Miller
"Member, Consumer Redressal Forum","Member, Consumer Redressal Forum"
"Appraiser, Customs","Appraiser, Customs"
Equal Opportunity Officer,Equal Opportunity Officer
"Elected Official, Local Bodies","Elected Official, Local Bodies"
"Elected Official, Union Government","Elected Official, Union Government"
"Administrative and Executive Officials, Local Bodies","Administrative and Executive Officials, Local Bodies"
"Administrative Official, State Government","Administrative Official, State Government"
"Administrative Official, Union Government","Administrative Official, Union Government"
"Constable, Excise","Constable, Excise"
"Executive Official, State Government","Executive Official, State Government"
Customs Inspector,Customs Inspector
Excise Inspector,Excise Inspector
Panchayat Secretary,Panchayat Secretary
Political Worker,Political Worker
"Sepoy, Customs","Sepoy, Customs"
"Supervisor, Customs","Supervisor, Customs"
"General Manager, Water Supply","General Manager, Water Supply"
"Manager, Water Supply","Manager, Water Supply"
Section Officer,Section Officer
"Light Keeper, Lighthouse","Light Keeper, Lighthouse"
Monument Caretaker,Monument Caretaker
Briefing Assistant,Briefing Assistant
Petition Writer,Petition Writer
Sub-Postmaster,Sub-Postmaster
Propagandist,Propagandist
Peon,Peon
Daftry,Daftry
Purchase Executive – Medical Electronics,Purchase Executive – Medical Electronics
Hospital Administrator,Hospital Administrator
Allergy Specialist,Allergy Specialist
Anaesthesia Technician,Anaesthesia Technician
Anaesthetist,Anaesthetist
"Anatomist, Medical","Anatomist, Medical"
Cardiologist,Cardiologist
Clinical Psychologist,Clinical Psychologist
Dentist,Dentist
Dermatologist,Dermatologist
"Ear, Nose and Throat Specialist (ENT Specialist)","Ear, Nose and Throat Specialist (ENT Specialist)"
Frontline Health Worker,Frontline Health Worker
Gynaecologist,Gynaecologist
Health Officer,Health Officer
Histotechnician,Histotechnician
Malariologist,Malariologist
Midwife,Midwife
Neurologist,Neurologist
"Nurse, General","Nurse, General"
Industrial Nurse,Industrial Nurse
"Nurse, Specialist","Nurse, Specialist"
Obstetrician,Obstetrician
Occupational Therapist,Occupational Therapist
Ophthalmologist,Ophthalmologist
Oral and Maxillofacial Surgeon,Oral and Maxillofacial Surgeon
Orthodontist,Orthodontist
Orthopaedist,Orthopaedist
Paediatric Dentist,Paediatric Dentist
Paediatrician,Paediatrician
"Pathologist, Medical","Pathologist, Medical"
Periodontist,Periodontist
Pharmacist,Pharmacist
Pharmacologist,Pharmacologist
"Physician, Bio-Chemic","Physician, Bio-Chemic"
"Physician, General","Physician, General"
"Physician, Osteopathic","Physician, Osteopathic"
"Physician, Unani","Physician, Unani"
Medical Physiologist,Medical Physiologist
Physiotherapist,Physiotherapist
Prosthodontist,Prosthodontist
Psychiatrist,Psychiatrist
Radiologist,Radiologist
Radiology Technician,Radiology Technician
Speech Therapist and Audiologist,Speech Therapist and Audiologist
"Surgeon, General","Surgeon, General"
Tuberculosis Specialist,Tuberculosis Specialist
Urologist,Urologist
Venereologist,Venereologist
Cytologist,Cytologist
Cancer Specialist,Cancer Specialist
"Upholsterer, Orthopaedic Appliances","Upholsterer, Orthopaedic Appliances"
Ambulance Driver,Ambulance Driver
Aesthetician,Aesthetician
Cosmetic Dermatology Technician,Cosmetic Dermatology Technician
Cosmetic Dermatology Trainer,Cosmetic Dermatology Trainer
Senior Cosmetic Dermatology Technician,Senior Cosmetic Dermatology Technician
Skin Care Specialist,Skin Care Specialist
Skincare Trainer,Skincare Trainer
Civil Engineer - Public Health,Civil Engineer - Public Health
Functional Tester_Medical Devices,Functional Tester_Medical Devices
X-Ray Mechanic,X-Ray Mechanic
Assistant Physiotherapist,Assistant Physiotherapist
Biomedical Equipment Technician,Biomedical Equipment Technician
Blood Bank Technician,Blood Bank Technician
Cardiac Care Technician,Cardiac Care Technician
Diabetes Educator,Diabetes Educator
Dialysis Technician,Dialysis Technician
Dietician Assistant,Dietician Assistant
Dietician,Dietician
Emergency Medical Technician - Advanced (EMT-Advanced),Emergency Medical Technician - Advanced (EMT-Advanced)
Emergency Medical Technician - Basic,Emergency Medical Technician - Basic
Home Health Aide,Home Health Aide
"Laboratory Assistant, Clinical","Laboratory Assistant, Clinical"
"Laboratory Assistant, Pharmaceutical","Laboratory Assistant, Pharmaceutical"
Lady Health Visitor,Lady Health Visitor
Dental Mechanic,Dental Mechanic
Medical Equipment Technician,Medical Equipment Technician
Medical Laboratory Technician,Medical Laboratory Technician
Medical Records and Health Information Technician,Medical Records and Health Information Technician
Midwifery Attendant,Midwifery Attendant
Naturopath,Naturopath
Nutritionist,Nutritionist
Operating Theatre Technician,Operating Theatre Technician
"Optician, Contact Lens","Optician, Contact Lens"
"Optician, General","Optician, General"
Orthopaedic Appliances and Limb Technician,Orthopaedic Appliances and Limb Technician
Orthotist and Prosthetist,Orthotist and Prosthetist
Phlebotomy Technician,Phlebotomy Technician
"Physician, Ayurvedic","Physician, Ayurvedic"
Siddha Physician,Siddha Physician
Refractionist,Refractionist
Speech Audio Therapy Assistant,Speech Audio Therapy Assistant
Vision Technician,Vision Technician
Voice Pathologist,Voice Pathologist
X-Ray Technician,X-Ray Technician
Psychometrist,Psychometrist
Laser Technician,Laser Technician
Family Planning Organizer,Family Planning Organizer
Health Educator,Health Educator
Lifeguard,Lifeguard
Sports Masseur,Sports Masseur
Hand Lacer,Hand Lacer
Bicycle Fitter,Bicycle Fitter
Institutional Ayah,Institutional Ayah
Blood Donor Unit Assistant,Blood Donor Unit Assistant
Dental Assistant,Dental Assistant
General Duty Assistant,General Duty Assistant
Masseur,Masseur
Nursing Attendant,Nursing Attendant
Pharmacy Assistant,Pharmacy Assistant
"Physician, Homeopathic","Physician, Homeopathic"
Orthopaedic Shoemaker,Orthopaedic Shoemaker
Impression Taker,Impression Taker
Store Assistant - Life Science,Store Assistant - Life Science
Hospital Cleaner,Hospital Cleaner
Fitness Trainer,Fitness Trainer
Sickle Dresser,Sickle Dresser
Executive Chef,Executive Chef
"General Manager, Lodging and Catering Services","General Manager, Lodging and Catering Services"
Service Supervisor,Service Supervisor
Senior Spa Therapist,Senior Spa Therapist
Spa Trainer,Spa Trainer
"General Manager, Recreation and Entertainment","General Manager, Recreation and Entertainment"
"Manager, Recreation and Entertainment","Manager, Recreation and Entertainment"
"Working Proprietor, Recreation and Entertainment","Working Proprietor, Recreation and Entertainment"
Assistant Catering Manager,Assistant Catering Manager
Butler,Butler
Customer Service Executive (Meet and Greet),Customer Service Executive (Meet and Greet)
"Director, Lodging and Catering Services","Director, Lodging and Catering Services"
Duty Manager,Duty Manager
Guest Relations Manager,Guest Relations Manager
Head Cook,Head Cook
Hotel and Restaurant Keeper,Hotel and Restaurant Keeper
House Steward,House Steward
"Manager, Fast Food Service","Manager, Fast Food Service"
"Manager, Lodging and Catering Services","Manager, Lodging and Catering Services"
"Meeting, Conference, and Event Planner","Meeting, Conference, and Event Planner"
Tandoor Cook,Tandoor Cook
Ticketing Consultant,Ticketing Consultant
Travel Consultant,Travel Consultant
Travel Consultant &amp; Organiser,Travel Consultant &amp; Organiser
Wine Waiter,Wine Waiter
"Working Proprietor, Lodging and Catering Services","Working Proprietor, Lodging and Catering Services"
Air Hostess,Air Hostess
Flight Steward,Flight Steward
Baker,Baker
Brew Master,Brew Master
"Supervisor and Foreman, Brewing, Aerated Water and Beverage Making","Supervisor and Foreman, Brewing, Aerated Water and Beverage Making"
"Chief Steward, Ship/ Chief Cook","Chief Steward, Ship/ Chief Cook"
Health Club Manager,Health Club Manager
Showroom Hostess/Host,Showroom Hostess/Host
Assistant Beautician,Assistant Beautician
Assistant Hair Stylist,Assistant Hair Stylist
Assistant Nail Technician,Assistant Nail Technician
Assistant Spa Therapist,Assistant Spa Therapist
Bath Attendant,Bath Attendant
Beauty Advisor,Beauty Advisor
Hair Advisor,Hair Advisor
Hair Care Trainer,Hair Care Trainer
Hair Stylist,Hair Stylist
Manicurist,Manicurist
Nail Technician,Nail Technician
Pedicurist and Manicurist,Pedicurist and Manicurist
Senior Barber,Senior Barber
Senior Beauty Therapist,Senior Beauty Therapist
Senior Nail Technician,Senior Nail Technician
Spa Therapist,Spa Therapist
Surface Grinder Operator,"Surface Grinder Operator, Surface Grinder Operator"
In-store Demonstrator,In-store Demonstrator
Hairdresser,Hairdresser
Location Manager,Location Manager
Merry-Go-Round Operator,Merry-Go-Round Operator
Shop Attendant,Shop Attendant
Vending Machine Attendant,Vending Machine Attendant
Barman,Barman
Domestic Bearer,Domestic Bearer
Bellhop,Bellhop
"Booking Clerk, Recreation","Booking Clerk, Recreation"
Cleaner - Carpet and Chair,Cleaner - Carpet and Chair
Domestic Cook,Domestic Cook
Institutional Cook,Institutional Cook
Ship Cook,Ship Cook
Dishwasher,Dishwasher
Flight Attendant,Flight Attendant
Food &amp; Beverage Service - Steward,Food &amp; Beverage Service - Steward
Hotel Concierge,Hotel Concierge
Housekeeper (Domestic),Housekeeper (Domestic)
Housekeeping Attendant,Housekeeping Attendant
Housekeeping Supervisor,Housekeeping Supervisor
Kitchen Porter,Kitchen Porter
Kitchen Steward,Kitchen Steward
Linen Keeper,Linen Keeper
"Matron, Housekeeping","Matron, Housekeeping"
Meet and Greet Officer,Meet and Greet Officer
Pantry Man,Pantry Man
"Porter, Baggage (Hotel &amp; Restaurant)","Porter, Baggage (Hotel &amp; Restaurant)"
Receptionist (Hotel),Receptionist (Hotel)
Room Attendant,Room Attendant
Room Bearer,Room Bearer
"Steward, Hotel","Steward, Hotel"
Tourist Guide,Tourist Guide
Travel Agent,Travel Agent
Horse Carriage Driver,Horse Carriage Driver
Coffee Roaster,Coffee Roaster
Ice Cream Maker,Ice Cream Maker
Liquor Taster,Liquor Taster
Roller Attendant,Roller Attendant
Taster (Food),Taster (Food)
Khas Thatti Maker,Khas Thatti Maker
Housekeeping with Mechanised Equipment,Housekeeping with Mechanised Equipment
"Dusting Man, Office; Farash, Office/Housekeeping Attendant","Dusting Man, Office; Farash, Office/Housekeeping Attendant"
Skin Diver,Skin Diver
Caddie,Caddie
Rug Cleaner,Rug Cleaner
Tea Maker,Tea Maker
Lascar Stager,Lascar Stager
Back Sizer,Back Sizer
Well Pulling Supervisor,Well Pulling Supervisor
Psychologist,"Psychologist, Psychologist"
Medical Social Worker,Medical Social Worker
Purohit,Purohit
Community Service Provider,Community Service Provider
Psychologist,"Psychologist, Psychologist"
Director of Other Services,Director of Other Services
Interpreter,Interpreter
Tram Car Driver (Mines),Tram Car Driver (Mines)
Well Puller,Well Puller
Clinical Sociologist,Clinical Sociologist
Counsellor,Counsellor
"Employment Officer/Operation Head, Employment","Employment Officer/Operation Head, Employment"
"Manpower Officer/Area Manager, Human Resource","Manpower Officer/Area Manager, Human Resource"
"Compositor, Hand","Compositor, Hand"
Child Welfare Organizer,Child Welfare Organizer
Marriage and Family Counsellor,Marriage and Family Counsellor
Labour Welfare Officer,Labour Welfare Officer
Undertaker,Undertaker
Vocational Rehabilitation Counsellor,Vocational Rehabilitation Counsellor
Women's Welfare Officer,Women's Welfare Officer
Women’s Welfare Organizer,Women’s Welfare Organizer
Assistant Beauty/Wellness Consultant,Assistant Beauty/Wellness Consultant
Barber,Barber
Beautician,Beautician
Beauty Therapist,Beauty Therapist
Child Care Worker,Child Care Worker
Safety Lamp Checker,Safety Lamp Checker
"Trammer, Mines","Trammer, Mines"
Match Referee in Cricket,Match Referee in Cricket
Counselling Psychologist,Counselling Psychologist
Sociologist,Sociologist
Finisher,"Finisher, Finisher"
"Assistant: Electricity Meter Reader, Billing and Cash Collector","Assistant: Electricity Meter Reader, Billing and Cash Collector"
Meter Reader,Meter Reader
Tracer,Tracer
Child and Family Social Worker,Child and Family Social Worker
Embalmer,Embalmer
Village Level Worker,Village Level Worker
Priest,Priest
Man Duck,Man Duck
Marker,Marker
Washer,Washer
Viewer,Viewer
Bottom Polisher,Bottom Polisher
"Fluffer, Hand","Fluffer, Hand"
Counter,Counter
Briner,Briner
Magmaman,Magmaman
Masher,Masher
Impostor,Impostor
Searcher,Searcher
Area Technical Lead,Area Technical Lead
Manager PLM L6,Manager PLM L6
Testing Manager,Testing Manager
Technical Head,Technical Head
Embedded Software Engineer,Embedded Software Engineer
Performance Tester - RACWO,Performance Tester - RACWO
PPC Engineer,PPC Engineer
System Analyst (PCB Design),System Analyst (PCB Design)
Spectrum Operator,"Spectrum Operator, Spectrum Operator"
Broadband Technician,Broadband Technician
BSS Support Engineer,BSS Support Engineer
Fault Management Engineer,Fault Management Engineer
ICT Engineer,ICT Engineer
Installation Engineer-L2 &amp; L3,Installation Engineer-L2 &amp; L3
Installation Engineer-SDH &amp; DWDM,Installation Engineer-SDH &amp; DWDM
Line Communication Engineer Telecommunication,Line Communication Engineer Telecommunication
Network Management Engineer,Network Management Engineer
"Supervisor, Wireless","Supervisor, Wireless"
Telecom Board Bring-Up Engineer,Telecom Board Bring-Up Engineer
Telecom Embedded Hardware Developer,Telecom Embedded Hardware Developer
Telecom Terminal Equipment Application Developer (Android),Telecom Terminal Equipment Application Developer (Android)
Telecom Terminal Equipment Application Developer,Telecom Terminal Equipment Application Developer
Computer Designer,Computer Designer
Reversing System Maintenance,Reversing System Maintenance
Frontend Developer (Frontman),Frontend Developer (Frontman)
Network Engineer (Router Specialist),Network Engineer (Router Specialist)
Front-End Developer,Front-End Developer
Barefoot Technician (BFT),Barefoot Technician (BFT)
Computer Aided Test Executive,Computer Aided Test Executive
Computer Topographer,Computer Topographer
Cable Television Installer,Cable Television Installer
CCTV Installation Technician,CCTV Installation Technician
DAS Set-top Box Installer and Service Technician,DAS Set-top Box Installer and Service Technician
DTH Set-top-box Installer and Service Technician,DTH Set-top-box Installer and Service Technician
"Fault Controller, Telephones","Fault Controller, Telephones"
Field Technician (Networking and Storage),Field Technician (Networking and Storage)
Field Technician - Digital Camera,Field Technician - Digital Camera
Field Technician-Computing and Peripherals,Field Technician-Computing and Peripherals
Functional Tester,Functional Tester
Functional Tester - RAC (Remote Access Controller),Functional Tester - RAC (Remote Access Controller)
Installation Technician(Computing and Peripherals),Installation Technician(Computing and Peripherals)
"Lineman, Telephone","Lineman, Telephone"
Performance Tester,Performance Tester
Remote Helpdesk Technician,Remote Helpdesk Technician
Repair Assistant-Switches,Repair Assistant-Switches
"Set Top Box Installer, Service Technician","Set Top Box Installer, Service Technician"
Smartphone Repair Technician,Smartphone Repair Technician
Digital Cataloguer,Digital Cataloguer
Customer Care Executive_Repair Centre,Customer Care Executive_Repair Centre
"Engineering Supervisor, Telephone","Engineering Supervisor, Telephone"
Handset Repair Engineer (Level II),Handset Repair Engineer (Level II)
ICT Technician,ICT Technician
"Line Inspector, Telegraph and Telephone","Line Inspector, Telegraph and Telephone"
Optical Fibre Splicer,Optical Fibre Splicer
RF Site Surveyor,RF Site Surveyor
Radio Engineer Telecommunication,Radio Engineer Telecommunication
"Station Technical Assistant, Overseas Communication","Station Technical Assistant, Overseas Communication"
"Sub-Inspector, Telephone","Sub-Inspector, Telephone"
Telecommunication Technician,Telecommunication Technician
Telephone Inspector,Telephone Inspector
Wireless Operator,Wireless Operator
Software Tester,Software Tester
Statistical Assistant,Statistical Assistant
Digital Librarian,Digital Librarian
Computer Operator,Computer Operator
Carrier Attendant (Telephone),Carrier Attendant (Telephone)
Grass Root Telecom Provider (GRTP),Grass Root Telecom Provider (GRTP)
Optical Fibre Technician,Optical Fibre Technician
"Telephone Operator, Local","Telephone Operator, Local"
"Telephone Operator, PBX","Telephone Operator, PBX"
"Telephone Operator, Trunk","Telephone Operator, Trunk"
Teleprinter Operator,Teleprinter Operator
"Monitor, Telephone","Monitor, Telephone"
Safety Engineer,"Safety Engineer, Safety Engineer"
Explosive Van Operator,Explosive Van Operator
Person Handling Explosives,Person Handling Explosives
Forensic Science Technician,Forensic Science Technician
Criminologist,Criminologist
"Chairman, Administrative Tribunal","Chairman, Administrative Tribunal"
District and Session Judge,District and Session Judge
"Judge, High Court","Judge, High Court"
"Judge, Subordinate Court","Judge, Subordinate Court"
"Judge, Supreme Court","Judge, Supreme Court"
Magistrate,Magistrate
"Member, Administrative Tribunal","Member, Administrative Tribunal"
"President, Industrial Tribunal","President, Industrial Tribunal"
Advocate General,Advocate General
Attorney at Law,Attorney at Law
Attorney General of India,Attorney General of India
Legal Remembrancer,Legal Remembrancer
Solicitor General of India,Solicitor General of India
Personal Security Officer,Personal Security Officer
Detective,Detective
Police Inspector,Police Inspector
Official Assignee (High Court),Official Assignee (High Court)
Police Prosecutor,Police Prosecutor
Public Prosecutor,Public Prosecutor
Sheriff,Sheriff
Manual Bruter,Manual Bruter
"Driver, Fire Brigade Vehicles","Driver, Fire Brigade Vehicles"
Armourer,"Armourer, Armourer"
Locksmith,"Locksmith, Locksmith"
Occupational Health and Safety Specialist,"Occupational Health and Safety Specialist, Occupational Health and Safety Specialist"
Armourer,"Armourer, Armourer"
Locksmith,"Locksmith, Locksmith"
Occupational Health and Safety Specialist,"Occupational Health and Safety Specialist, Occupational Health and Safety Specialist"
Safety Engineer,"Safety Engineer, Safety Engineer"
Firefighter,Firefighter
Safety Operator,Safety Operator
Fingerprint Expert,Fingerprint Expert
Handwriting Expert,Handwriting Expert
Clearance Support Agent,Clearance Support Agent
Penologist,Penologist
"Magistrate, Juvenile Court","Magistrate, Juvenile Court"
Munsif,Munsif
"President, Consumer Redressal Forum","President, Consumer Redressal Forum"
Government Advocate,Government Advocate
Process Server,Process Server
Prothonotary and Senior Master,Prothonotary and Senior Master
"Registrar (Appellate Side, High Court)","Registrar (Appellate Side, High Court)"
Armed Security Guard,Armed Security Guard
CCTV Supervisor,CCTV Supervisor
Physical Security Trainer,Physical Security Trainer
Security Supervisor,Security Supervisor
Coroner,Coroner
Court Receiver and Liquidator,Court Receiver and Liquidator
Fire Fighter,Fire Fighter
Fire Inspector,Fire Inspector
Fire Officer,Fire Officer
